,pairId,playerId1,playerId2,player1Name,player2Name,icetime,corsiPercentage,cf_inf_on1,cf_inf_on2,cf_inf_on1_std,cf_inf_on2_std
580,84756198474291,8475619,8474291,Aaron Volpatti,Jay Beagle,13262.0,0.4554350776655104,-0.05483508670832821,-0.010595151130047609,5.689246821665288,5.1697256069725865
581,84756198476880,8475619,8476880,Aaron Volpatti,Tom Wilson,13262.0,0.4554350776655104,-0.05483508670832821,0.040351511495090975,5.689246821665288,4.350347973661679
582,84741688470778,8474168,8470778,Joakim Andersson,Drew Miller,56486.0,0.42728215841093364,0.12666858785772306,0.03472294153148631,5.6620907852011495,6.355312238864588
583,84741688475193,8474168,8475193,Joakim Andersson,Tomas Tatar,12364.0,0.5310643804593983,-0.042923854516589366,0.02681961777238706,5.6620907852011495,4.566945452748162
584,84741688476822,8474168,8476822,Joakim Andersson,Luke Glendening,44122.0,0.3981999909342278,0.15185657077445863,0.0436832442246225,3.096793415883078,4.3249978568631775
585,84701768471245,8470176,8471245,Sean Bergenheim,Dave Bolland,13624.0,0.53,0.018179473290515613,-0.0751297503094856,4.726971200215065,6.137011133737242
586,84701768468504,8470176,8468504,Sean Bergenheim,Brad Boyes,77682.0,0.5644172395149456,-0.12818578550901105,-0.06933272975205579,5.805508423291687,6.101875262697851
587,84701768477493,8470176,8477493,Sean Bergenheim,Aleksander Barkov,53820.0,0.5802118171683389,-0.08483235168711128,-0.06314124296445689,5.805508423291687,5.975107991961218
588,84701768475760,8470176,8475760,Sean Bergenheim,Nick Bjugstad,23862.0,0.5287930600955494,0.022579896813811784,-0.034435975016942066,4.686642902649961,5.5452464846365155
589,84761168469759,8476116,8469759,Ryan Garbutt,Vernon Fiddler,51482.0,0.5066772852647528,0.00315203960789856,-0.04427970057831171,4.848417123201849,5.447353339020333
590,84761168470180,8476116,8470180,Ryan Garbutt,Eric Nystrom,13952.0,0.5,0.00967509955636825,-0.05592598502771745,4.848417123201849,5.871534116835928
591,84761168474849,8476116,8474849,Ryan Garbutt,Antoine Roussel,132912.0,0.5178773925604911,-0.036038844858675645,-0.02449132770510104,5.0045228146594765,5.133096793837002
592,84761168475236,8476116,8475236,Ryan Garbutt,Cody Eakin,95382.0,0.5213075842402131,-0.026894575152983047,-0.04833154098436848,5.277250439126293,5.707063131026484
593,84673308471309,8467330,8471309,David Legwand,Johan Franzen,13394.0,0.57,-0.10100322871685452,-0.057071407985456846,6.589772689850347,5.867994767760186
594,84673308474679,8467330,8474679,David Legwand,Gustav Nyquist,13394.0,0.57,-0.10100322871685452,-0.059489199314495034,6.589772689850347,5.959131753857709
595,84673308474096,8467330,8474096,David Legwand,Nick Spaling,26264.0,0.4887686567164179,-0.014669391898009532,-0.02301409383863523,5.221835304889366,5.348978100519651
596,84673308475225,8467330,8475225,David Legwand,Craig Smith,39118.0,0.5323242497060177,-0.07079827416999601,0.010866110537471108,5.221835304889366,4.101883063095193
