,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,corsi_influence_on_player2,corsi_influence_on_player_1
2556,84712748474716,2021,Goligoski-Spurgeon,MIN,pairing,5on5,48,30153.0,159.0,0.56,0.59,0.58,275.69,22.19,19.01,63.89,9.12,157.61,115.18,21.57,22.63,22.01,286.0,101.0,142.0,529.0,33.0,19.0,6.0,67.0,10.0,131.0,127.0,253.0,354.0,37.0,83.0,213.0,203.0,52.0,54.0,304.0,70.0,13.0,9.71,8.67,3.81,16.0,12.0,5.0,536.62,387.0,392.18,28.0,3.91,4.33,4.17,21.93,22.32,21.97,203.67,17.15,13.78,48.42,6.62,111.79,83.25,16.52,16.85,16.24,202.0,79.0,88.0,369.0,14.0,16.0,1.0,56.0,9.0,73.0,113.0,188.0,267.0,33.0,75.0,267.0,214.0,54.0,66.0,207.0,57.0,17.0,5.73,6.77,4.65,5.0,6.0,3.0,364.97,281.0,278.85,42.0,2.86,3.69,3.69,16.31,16.03,15.74,8471274,8474716,,0.08283552935326899,0.1079392670711995
2557,84768748480467,2021,Maatta-Strand,LAK,pairing,5on5,4,1571.0,18.0,0.79,0.73,0.72,19.31,2.03,1.13,4.84,0.62,10.11,7.28,1.99,2.16,2.12,22.0,4.0,6.0,32.0,3.0,3.0,2.0,4.0,0.0,9.0,7.0,19.0,23.0,1.0,5.0,10.0,4.0,3.0,1.0,21.0,3.0,2.0,0.63,0.42,0.98,1.0,0.0,2.0,33.97,26.0,27.36,0.0,0.23,1.18,1.18,1.08,1.14,1.12,7.52,0.55,0.46,1.72,0.25,3.66,3.37,0.54,0.51,0.51,8.0,2.0,2.0,12.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,8.0,10.0,4.0,11.0,13.0,16.0,1.0,2.0,9.0,0.0,1.0,0.35,0.0,0.2,0.0,0.0,0.0,11.43,10.0,9.53,2.0,0.09,0.0,0.0,0.64,0.6,0.59,8476874,8480467,,0.19551864013907672,0.20507338812549447
2559,84778518478013,2021,Oesterle-Walman,DET,pairing,5on5,3,886.0,19.0,0.38,0.48,0.41,6.95,0.55,0.43,1.83,0.21,3.48,2.5,0.55,0.5,0.5,8.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,9.0,0.0,0.0,3.0,11.0,3.0,1.0,6.0,3.0,0.0,0.17,0.38,0.0,0.0,0.0,0.0,12.05,9.0,8.35,1.0,0.09,0.0,0.0,0.64,0.59,0.59,9.87,0.91,0.74,2.17,0.29,5.22,3.66,0.86,0.99,0.92,11.0,2.0,1.0,14.0,3.0,0.0,0.0,2.0,1.0,5.0,2.0,8.0,10.0,1.0,2.0,11.0,4.0,0.0,0.0,8.0,4.0,1.0,0.26,0.44,0.22,1.0,2.0,0.0,15.14,13.0,13.93,0.0,0.16,0.0,0.0,1.07,1.16,1.08,8477851,8478013,,-0.030698848398801104,0.020403515963018537
2560,84745658477447,2021,Theodore-Pietrangelo,VGK,pairing,5on5,65,10692.0,409.0,0.6,0.66,0.65,118.61,8.98,7.83,28.25,3.85,66.72,51.39,8.82,8.95,8.79,121.0,46.0,78.0,245.0,8.0,7.0,0.0,37.0,2.0,58.0,55.0,113.0,159.0,11.0,24.0,95.0,52.0,26.0,29.0,129.0,34.0,4.0,3.6,4.46,0.91,2.0,6.0,0.0,240.04,167.0,163.49,11.0,1.62,1.11,1.11,9.48,9.45,9.34,63.64,5.89,4.46,14.75,1.99,35.19,25.73,5.79,6.11,6.0,64.0,24.0,40.0,128.0,2.0,4.0,0.0,12.0,4.0,22.0,44.0,62.0,86.0,7.0,14.0,94.0,83.0,28.0,16.0,63.0,19.0,6.0,1.92,2.41,1.56,1.0,0.0,1.0,132.05,88.0,90.68,10.0,0.92,0.88,0.88,5.94,6.11,6.04,8474565,8477447,,0.14733614378188253,0.13597171737290248
2562,84784158479325,2021,Zboril-Mcavoy,BOS,pairing,5on5,8,607.0,61.0,0.81,0.69,0.67,11.99,1.51,0.68,2.99,0.43,5.87,4.53,1.37,1.58,1.42,14.0,2.0,2.0,18.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,12.0,14.0,1.0,2.0,6.0,4.0,0.0,3.0,11.0,2.0,3.0,0.29,0.18,1.05,0.0,0.0,2.0,18.38,16.0,16.11,1.0,0.14,0.82,0.82,0.83,0.85,0.84,5.64,0.35,0.37,1.22,0.17,3.42,2.47,0.35,0.36,0.36,5.0,3.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,0.0,0.16,0.19,0.0,0.0,1.0,0.0,8.21,8.0,8.2,0.0,0.08,0.0,0.0,0.42,0.44,0.44,8478415,8479325,,0.11079567662901002,0.09670142296368978
2566,84740278477948,2021,Sanheim-Braun,PHI,pairing,5on5,38,4672.0,266.0,0.46,0.49,0.51,40.54,3.06,2.65,9.47,1.26,22.26,16.3,3.02,3.03,2.99,42.0,13.0,16.0,71.0,6.0,1.0,0.0,8.0,0.0,16.0,24.0,36.0,49.0,4.0,8.0,31.0,32.0,8.0,11.0,42.0,12.0,1.0,1.41,1.44,0.21,3.0,2.0,1.0,70.51,55.0,54.68,6.0,0.55,0.18,0.18,3.44,3.41,3.38,39.39,3.58,2.42,9.14,1.19,20.08,16.58,3.49,3.61,3.52,39.0,14.0,21.0,74.0,4.0,5.0,1.0,8.0,1.0,9.0,26.0,35.0,49.0,5.0,10.0,21.0,39.0,8.0,21.0,37.0,12.0,4.0,1.03,1.48,1.07,0.0,4.0,0.0,73.84,53.0,52.45,16.0,0.51,1.08,1.08,3.01,3.06,3.01,8474027,8477948,,0.021054151624548767,0.032148474025476326
2570,84763728477499,2021,Seeler-Ristolainen,PHI,pairing,5on5,17,2044.0,147.0,0.34,0.45,0.44,14.54,0.83,0.88,3.41,0.42,7.92,6.55,0.82,0.8,0.79,19.0,1.0,10.0,30.0,1.0,0.0,0.0,5.0,0.0,2.0,12.0,18.0,19.0,2.0,4.0,13.0,18.0,5.0,8.0,17.0,3.0,0.0,0.47,0.36,0.0,1.0,0.0,0.0,29.66,20.0,19.66,5.0,0.18,0.0,0.0,1.01,0.97,0.96,17.93,1.59,1.17,4.23,0.57,10.31,7.13,1.58,1.64,1.63,19.0,6.0,11.0,36.0,1.0,0.0,0.0,7.0,3.0,3.0,11.0,18.0,24.0,0.0,0.0,12.0,17.0,6.0,1.0,18.0,6.0,1.0,0.53,0.82,0.24,0.0,1.0,0.0,36.58,25.0,25.33,1.0,0.24,0.0,0.0,1.83,1.89,1.87,8476372,8477499,,-0.010289920853309098,0.0
2572,84717248475208,2021,Dumoulin-Letang,PIT,pairing,5on5,72,63261.0,111.0,0.52,0.51,0.52,560.45,47.71,38.49,130.53,17.91,315.1,229.26,45.79,48.64,46.7,590.0,189.0,228.0,1007.0,48.0,43.0,7.0,132.0,19.0,242.0,295.0,542.0,731.0,54.0,111.0,570.0,424.0,141.0,133.0,593.0,146.0,40.0,18.25,17.91,11.55,19.0,20.0,9.0,1030.78,779.0,794.81,70.0,7.96,9.27,9.5,46.17,47.2,46.19,531.15,43.49,34.84,126.45,16.84,286.19,216.18,42.24,43.06,41.83,554.0,170.0,245.0,969.0,39.0,48.0,4.0,125.0,9.0,225.0,278.0,515.0,685.0,62.0,135.0,591.0,515.0,152.0,137.0,545.0,141.0,38.0,15.16,17.8,10.53,16.0,17.0,6.0,952.65,724.0,714.1,76.0,7.22,8.83,8.52,42.18,41.68,41.02,8471724,8475208,,0.07812560297698357,0.0
2573,84784768479345,2021,Chychrun-Capobianco,ARI,pairing,5on5,17,4883.0,96.0,0.48,0.44,0.44,41.63,3.6,2.99,9.36,1.32,22.73,17.01,3.53,3.59,3.52,41.0,16.0,14.0,71.0,7.0,1.0,0.0,10.0,1.0,14.0,24.0,34.0,50.0,7.0,14.0,45.0,35.0,7.0,16.0,38.0,15.0,4.0,0.9,1.82,0.88,0.0,4.0,3.0,69.57,57.0,56.07,12.0,0.62,0.15,0.15,4.07,4.04,3.98,53.31,3.97,3.43,12.8,1.66,29.52,22.62,3.88,4.12,4.03,46.0,28.0,18.0,92.0,6.0,3.0,0.0,11.0,4.0,22.0,28.0,40.0,68.0,3.0,6.0,45.0,30.0,11.0,14.0,57.0,14.0,3.0,1.66,1.62,0.69,3.0,3.0,0.0,95.77,74.0,76.51,8.0,0.7,0.69,0.69,3.99,4.13,4.11,8478476,8479345,,-0.033110323155972565,0.0
2575,84745638481600,2021,Bjornfot-Doughty,LAK,pairing,5on5,26,1902.0,172.0,0.25,0.47,0.42,16.18,1.07,0.91,4.43,0.53,8.71,6.36,1.04,1.07,1.04,16.0,6.0,8.0,30.0,2.0,3.0,1.0,2.0,2.0,5.0,8.0,14.0,20.0,1.0,2.0,23.0,11.0,2.0,6.0,17.0,4.0,1.0,0.41,0.45,0.21,1.0,0.0,1.0,30.07,22.0,22.34,4.0,0.19,0.26,0.26,1.0,1.0,0.99,24.45,3.28,1.98,4.89,0.7,11.6,8.56,2.95,3.34,3.01,21.0,10.0,3.0,34.0,4.0,6.0,2.0,1.0,3.0,7.0,10.0,17.0,27.0,0.0,0.0,9.0,16.0,4.0,4.0,16.0,10.0,5.0,0.57,1.19,1.53,1.0,1.0,2.0,34.45,31.0,31.34,4.0,0.42,1.62,1.62,2.09,2.1,2.05,8474563,8481600,,-0.020614857438417344,-0.12517868082499495
2580,84745748476779,2021,Hunt-Myers,VAN,pairing,5on5,27,3067.0,204.0,0.51,0.51,0.51,30.71,2.5,2.02,7.37,1.13,18.61,13.36,2.44,2.55,2.49,35.0,10.0,8.0,53.0,3.0,2.0,0.0,10.0,0.0,10.0,20.0,32.0,42.0,1.0,2.0,16.0,9.0,3.0,7.0,38.0,5.0,2.0,1.33,0.53,0.65,3.0,0.0,0.0,54.17,45.0,46.01,6.0,0.41,0.58,0.58,2.33,2.34,2.3,30.67,2.42,2.17,7.05,0.94,17.6,12.82,2.38,2.39,2.35,32.0,11.0,8.0,51.0,4.0,2.0,1.0,7.0,0.0,12.0,18.0,28.0,39.0,4.0,8.0,15.0,17.0,2.0,10.0,28.0,15.0,0.0,0.75,1.67,0.0,1.0,3.0,0.0,49.97,43.0,42.24,5.0,0.45,0.25,0.25,2.61,2.6,2.56,8474574,8476779,,0.010784098172056722,0.020697029612963325
2583,84780218480887,2021,Lagesson-Harris,MTL,pairing,5on5,2,1587.0,6.0,0.39,0.47,0.42,9.99,0.7,0.59,2.45,0.31,5.61,4.34,0.69,0.7,0.69,9.0,5.0,7.0,21.0,1.0,0.0,0.0,2.0,2.0,7.0,2.0,8.0,13.0,2.0,4.0,13.0,8.0,6.0,12.0,10.0,3.0,1.0,0.19,0.25,0.26,0.0,1.0,0.0,19.95,14.0,13.43,5.0,0.12,0.0,0.0,0.82,0.82,0.8,13.56,1.08,0.83,3.65,0.5,7.65,5.29,1.05,1.06,1.03,12.0,7.0,5.0,24.0,0.0,1.0,0.0,7.0,0.0,5.0,6.0,12.0,19.0,2.0,4.0,9.0,16.0,9.0,14.0,14.0,4.0,1.0,0.34,0.53,0.21,0.0,0.0,0.0,24.49,19.0,19.25,10.0,0.17,0.21,0.21,1.04,1.04,1.04,8478021,8480887,,0.03623984272608127,-0.07522678084125345
2584,84795238479597,2021,Carlsson-Priskie,FLA,pairing,5on5,2,1157.0,4.0,0.73,0.67,0.66,15.51,1.99,1.06,3.62,0.49,8.09,5.75,1.94,2.09,2.04,15.0,6.0,3.0,24.0,4.0,3.0,1.0,1.0,0.0,7.0,6.0,11.0,17.0,2.0,4.0,7.0,7.0,8.0,1.0,13.0,4.0,4.0,0.45,0.39,1.15,0.0,1.0,3.0,24.5,21.0,21.59,0.0,0.22,0.46,0.46,1.75,1.83,1.81,7.86,0.72,0.54,2.08,0.28,4.1,3.29,0.72,0.71,0.7,7.0,4.0,1.0,12.0,0.0,2.0,0.0,3.0,0.0,2.0,4.0,7.0,11.0,1.0,2.0,11.0,5.0,1.0,4.0,8.0,1.0,2.0,0.18,0.08,0.46,0.0,0.0,0.0,12.11,11.0,11.16,4.0,0.12,0.27,0.27,0.56,0.56,0.56,8479523,8479597,,0.2667962598425197,0.1144321783040223
2595,84706138480847,2021,Burns-Merkley,SJS,pairing,5on5,26,1242.0,232.0,0.69,0.47,0.53,11.88,1.43,0.76,2.8,0.37,5.89,4.75,1.35,1.37,1.29,12.0,4.0,3.0,19.0,1.0,2.0,1.0,4.0,0.0,4.0,5.0,11.0,15.0,4.0,11.0,4.0,4.0,2.0,4.0,12.0,2.0,2.0,0.33,0.35,0.76,0.0,0.0,1.0,18.23,16.0,15.37,2.0,0.16,0.76,0.76,0.83,0.79,0.79,9.7,0.64,0.51,2.34,0.32,5.64,4.55,0.63,0.63,0.62,6.0,8.0,7.0,21.0,1.0,0.0,0.0,1.0,0.0,6.0,6.0,5.0,13.0,3.0,9.0,3.0,8.0,3.0,6.0,12.0,2.0,0.0,0.35,0.29,0.0,1.0,0.0,0.0,21.56,14.0,14.62,3.0,0.11,0.0,0.0,0.74,0.74,0.73,8470613,8480847,,-0.01040789516897106,0.020260161920422237
2598,84757538480157,2021,Rosen-Faulk,STL,pairing,5on5,13,3955.0,87.0,0.64,0.59,0.59,38.23,3.2,2.67,8.55,1.23,21.72,15.63,3.04,3.26,3.1,43.0,10.0,14.0,67.0,6.0,3.0,1.0,6.0,0.0,20.0,18.0,37.0,47.0,2.0,4.0,27.0,17.0,6.0,11.0,37.0,14.0,2.0,1.08,1.68,0.45,1.0,4.0,1.0,68.51,53.0,54.24,7.0,0.56,0.48,0.48,3.27,3.35,3.24,26.73,1.77,1.69,6.09,0.81,15.26,11.38,1.77,1.79,1.78,26.0,11.0,10.0,47.0,1.0,0.0,0.0,6.0,0.0,11.0,19.0,25.0,36.0,1.0,2.0,37.0,26.0,7.0,8.0,28.0,9.0,0.0,0.67,1.11,0.0,0.0,1.0,0.0,47.05,37.0,36.95,5.0,0.35,0.0,0.0,2.13,2.14,2.13,8475753,8480157,,0.10941340522450488,0.10477535890655754
2599,84702818475197,2021,Keith-Barrie,EDM,pairing,5on5,33,3618.0,227.0,0.67,0.58,0.53,35.03,3.53,2.57,7.2,1.04,20.04,13.62,3.43,3.42,3.32,32.0,16.0,20.0,68.0,5.0,3.0,1.0,6.0,0.0,17.0,17.0,27.0,43.0,7.0,14.0,32.0,19.0,13.0,13.0,32.0,11.0,5.0,1.01,1.3,1.22,2.0,2.0,1.0,65.43,48.0,46.45,10.0,0.53,0.72,0.72,3.34,3.23,3.16,30.34,1.72,1.69,7.15,0.93,17.36,13.16,1.71,1.79,1.78,33.0,9.0,8.0,50.0,0.0,1.0,0.0,9.0,1.0,18.0,13.0,33.0,42.0,2.0,4.0,19.0,22.0,13.0,16.0,36.0,6.0,0.0,0.88,0.84,0.0,0.0,0.0,0.0,50.93,42.0,43.0,9.0,0.34,0.18,0.18,1.89,1.98,1.98,8470281,8475197,,0.08459610956728852,0.06354005968591503
2601,84784608478567,2021,Werenski-Kukan,CBJ,pairing,5on5,27,2180.0,201.0,0.41,0.44,0.47,19.28,1.76,1.25,4.43,0.62,10.56,8.4,1.73,1.79,1.76,21.0,6.0,5.0,32.0,2.0,1.0,0.0,7.0,1.0,7.0,9.0,19.0,25.0,2.0,4.0,8.0,9.0,5.0,7.0,20.0,4.0,3.0,0.52,0.45,0.79,0.0,1.0,1.0,32.42,27.0,27.41,3.0,0.26,0.35,0.35,1.67,1.68,1.65,22.66,2.5,1.62,4.6,0.68,11.71,8.88,2.47,2.59,2.55,25.0,5.0,10.0,40.0,3.0,1.0,1.0,7.0,0.0,5.0,14.0,22.0,27.0,3.0,6.0,5.0,11.0,7.0,3.0,18.0,10.0,2.0,0.55,1.36,0.59,0.0,2.0,1.0,41.34,30.0,30.42,2.0,0.34,0.35,0.35,2.5,2.54,2.51,8478460,8478567,,-0.03190426275331937,-0.061658782798371725
2602,84752188476807,2021,Ekholm-Tennyson,NSH,pairing,5on5,7,729.0,50.0,0.36,0.46,0.45,6.15,0.33,0.36,1.72,0.23,3.56,2.8,0.32,0.33,0.31,5.0,4.0,3.0,12.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,5.0,9.0,3.0,9.0,5.0,9.0,0.0,3.0,8.0,1.0,0.0,0.22,0.11,0.0,0.0,0.0,0.0,11.4,9.0,8.83,1.0,0.07,0.0,0.0,0.4,0.4,0.38,7.97,0.59,0.51,1.98,0.23,4.48,3.21,0.58,0.6,0.59,9.0,2.0,3.0,14.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,7.0,9.0,2.0,7.0,5.0,3.0,3.0,2.0,9.0,2.0,0.0,0.35,0.24,0.0,1.0,1.0,0.0,14.81,11.0,11.11,1.0,0.11,0.0,0.0,0.7,0.7,0.69,8475218,8476807,,0.06838412880966072,-0.030274779811787722
2606,84800358482671,2021,Power-Jokiharju,BUF,pairing,5on5,8,6555.0,15.0,0.49,0.56,0.54,58.27,4.94,4.01,12.97,1.89,33.49,24.7,4.88,5.03,4.96,63.0,19.0,25.0,107.0,6.0,4.0,0.0,18.0,3.0,23.0,28.0,57.0,76.0,8.0,16.0,48.0,22.0,13.0,15.0,61.0,18.0,3.0,2.14,2.08,0.73,2.0,3.0,1.0,109.06,82.0,83.39,9.0,0.82,0.6,0.6,5.17,5.25,5.2,52.27,5.16,3.38,12.31,1.7,26.44,20.01,4.72,4.98,4.56,55.0,14.0,15.0,84.0,6.0,5.0,2.0,11.0,4.0,20.0,23.0,49.0,63.0,9.0,18.0,59.0,33.0,12.0,22.0,47.0,18.0,4.0,1.28,2.54,1.34,3.0,1.0,2.0,82.47,69.0,67.99,18.0,0.7,1.0,1.45,4.41,4.29,4.11,8480035,8482671,,-0.08228028503562901,0.07775176118797839
2607,84785068478882,2021,Gavrikov-Carlsson,CBJ,pairing,5on5,17,1326.0,129.0,0.42,0.45,0.45,9.74,1.03,0.65,1.84,0.28,5.13,4.07,1.03,1.04,1.04,9.0,4.0,4.0,17.0,2.0,0.0,0.0,1.0,1.0,2.0,7.0,7.0,11.0,0.0,0.0,2.0,6.0,2.0,1.0,7.0,6.0,0.0,0.29,0.75,0.0,1.0,1.0,0.0,17.42,13.0,13.42,0.0,0.14,0.0,0.0,1.17,1.18,1.18,12.46,1.4,0.85,2.6,0.38,6.31,4.45,1.34,1.38,1.32,13.0,3.0,5.0,21.0,0.0,2.0,0.0,5.0,0.0,2.0,7.0,13.0,16.0,1.0,2.0,8.0,2.0,4.0,4.0,10.0,5.0,1.0,0.43,0.72,0.25,0.0,0.0,0.0,21.4,16.0,15.96,1.0,0.18,0.44,0.44,1.14,1.14,1.13,8478506,8478882,,-0.020303839235589927,-0.0316107871720116
2613,84768508478038,2021,Toews-Murray,COL,pairing,5on5,19,1011.0,198.0,0.5,0.52,0.55,9.04,0.68,0.55,2.1,0.27,4.59,3.8,0.68,0.7,0.7,10.0,2.0,1.0,13.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0,10.0,12.0,0.0,0.0,4.0,5.0,2.0,3.0,10.0,2.0,0.0,0.37,0.31,0.0,0.0,0.0,0.0,13.41,12.0,12.37,1.0,0.11,0.0,0.0,0.79,0.82,0.82,7.58,0.69,0.5,1.77,0.23,3.81,3.01,0.69,0.66,0.66,8.0,2.0,2.0,12.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,8.0,10.0,1.0,2.0,3.0,11.0,4.0,4.0,7.0,3.0,0.0,0.26,0.42,0.0,0.0,0.0,0.0,11.49,10.0,9.69,3.0,0.11,0.0,0.0,0.79,0.76,0.76,8476850,8478038,,-0.050651065145153384,0.03111037891268531
2619,84716868481542,2021,Staal-Seider,DET,pairing,5on5,63,5890.0,416.0,0.6,0.57,0.59,65.55,6.31,4.22,15.71,2.19,33.63,26.95,6.15,6.39,6.23,61.0,28.0,23.0,112.0,13.0,6.0,2.0,8.0,1.0,21.0,40.0,48.0,76.0,11.0,28.0,18.0,34.0,17.0,12.0,62.0,22.0,5.0,2.03,2.58,1.7,5.0,6.0,2.0,111.97,89.0,89.31,7.0,0.88,1.51,1.77,5.41,5.52,5.46,45.13,4.12,2.96,9.68,1.44,23.99,18.82,4.07,4.25,4.21,40.0,21.0,23.0,84.0,7.0,4.0,1.0,8.0,2.0,19.0,21.0,33.0,54.0,8.0,19.0,26.0,30.0,14.0,23.0,42.0,16.0,3.0,1.28,1.72,1.13,3.0,3.0,1.0,86.42,61.0,62.52,14.0,0.61,0.79,0.79,3.93,4.02,3.98,8471686,8481542,,0.10737984263018091,0.12130360445235344
2622,84751778481568,2021,Vlasic-De Haan,CHI,pairing,5on5,4,1069.0,28.0,0.71,0.27,0.38,4.79,0.78,0.39,0.87,0.12,2.2,1.65,0.75,0.75,0.72,6.0,0.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,1.0,2.0,7.0,10.0,3.0,1.0,3.0,2.0,1.0,0.12,0.3,0.35,1.0,0.0,1.0,6.6,6.0,5.73,1.0,0.08,0.0,0.0,0.86,0.82,0.8,6.71,0.32,0.38,1.64,0.24,4.19,3.23,0.32,0.32,0.32,9.0,1.0,9.0,19.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,8.0,9.0,0.0,0.0,9.0,7.0,0.0,5.0,10.0,0.0,0.0,0.32,0.0,0.0,1.0,0.0,0.0,19.09,10.0,10.04,5.0,0.08,0.0,0.0,0.4,0.4,0.4,8475177,8481568,,-0.18632061068702288,-0.2031142574142049
2623,84768748481606,2021,Maatta-Spence,LAK,pairing,5on5,22,17298.0,51.0,0.58,0.58,0.58,154.21,13.62,10.57,36.69,5.25,85.5,62.38,13.04,13.52,12.94,148.0,66.0,79.0,293.0,11.0,19.0,2.0,36.0,5.0,65.0,78.0,137.0,203.0,17.0,37.0,122.0,109.0,32.0,34.0,159.0,39.0,16.0,4.45,4.86,4.31,6.0,2.0,3.0,291.07,214.0,214.07,26.0,2.19,4.14,4.14,11.67,11.62,11.44,109.92,9.95,8.03,24.88,3.52,61.11,44.53,9.5,10.12,9.65,112.0,40.0,61.0,213.0,11.0,8.0,1.0,19.0,5.0,46.0,63.0,101.0,141.0,13.0,26.0,101.0,144.0,30.0,40.0,106.0,38.0,8.0,3.22,4.78,1.95,5.0,6.0,0.0,217.3,152.0,153.54,28.0,1.67,1.77,1.77,9.85,10.01,9.87,8476874,8481606,,0.03398835113021781,0.06871915851441435
2624,84779698478017,2021,Pettersson-Friedman,PIT,pairing,5on5,9,2887.0,52.0,0.73,0.52,0.56,28.93,3.22,2.23,6.41,0.96,16.1,11.09,3.13,3.08,3.0,33.0,7.0,11.0,51.0,5.0,4.0,0.0,6.0,0.0,9.0,16.0,28.0,35.0,6.0,20.0,25.0,26.0,5.0,4.0,27.0,10.0,3.0,1.04,1.22,0.95,3.0,2.0,0.0,49.15,40.0,38.21,2.0,0.47,1.05,1.05,2.63,2.55,2.51,22.83,1.22,1.3,5.7,0.73,13.04,10.01,1.22,1.29,1.29,25.0,7.0,15.0,47.0,5.0,0.0,0.0,6.0,0.0,8.0,13.0,20.0,27.0,6.0,18.0,19.0,33.0,2.0,4.0,30.0,1.0,1.0,0.82,0.15,0.26,3.0,1.0,1.0,49.21,32.0,33.7,3.0,0.26,0.0,0.0,1.48,1.56,1.56,8477969,8478017,,0.023598180345235864,-0.02094204790184695
2626,84757968480807,2021,Samuelsson-Pysyk,BUF,pairing,5on5,19,6401.0,118.0,0.41,0.4,0.43,48.72,3.75,3.15,11.18,1.54,25.69,20.7,3.68,3.81,3.74,53.0,13.0,12.0,78.0,5.0,3.0,1.0,10.0,4.0,17.0,27.0,48.0,61.0,7.0,16.0,34.0,32.0,6.0,17.0,50.0,14.0,2.0,1.21,2.01,0.53,1.0,3.0,1.0,80.48,66.0,67.61,9.0,0.65,0.49,0.49,3.91,3.97,3.95,63.11,5.44,4.37,15.1,2.04,35.64,26.41,5.26,5.48,5.29,66.0,23.0,29.0,118.0,5.0,5.0,0.0,16.0,3.0,21.0,39.0,61.0,84.0,5.0,10.0,43.0,30.0,12.0,13.0,67.0,18.0,4.0,1.98,2.2,1.26,1.0,2.0,2.0,119.29,89.0,88.73,8.0,0.91,0.89,0.89,5.45,5.46,5.35,8475796,8480807,,-0.09400809716599184,-0.06676829268292683
